waveform_id,spin_status,theta_f,chifx,chify,chifz,spinf,massf,mass_ratio,delta,mass1,mass2,eccentricity,chi1x_isco,chi1y_isco,chi1z_isco,chi2x_isco,chi2y_isco,chi2z_isco,chi_s_isco,chi_a_isco,kick_velocity,kick_angle
SXS:BBH:0546,precessing,0.024910788087192753,0.0122818553577,0.0370490461435,0.803581938841,0.8045293084920098,0.936838606767,1.1122603192639913,0.05314700950454132,0.526581347864,0.473433546755,5.82e-05,-0.011032425573394634,-0.16297910148149689,0.2799026565103281,0.10765258063255834,0.24273492709223113,0.5695658704090685,0.41703689666860194,-0.12225825101237278,0.003495983255080231,0.06340669957742957
SXS:BBH:0547,precessing,0.09428556176227239,0.00404584840448,0.0331704421311,0.681144745916,0.6819639374699054,0.956142795823,1.7027286946237359,0.26000711651953917,0.630003611439,0.369996472972,0.0001774,-0.12534658086351647,0.05751878652864208,0.21718650396440525,-0.08739382719247994,0.06418802921006993,-0.3165231080602486,0.01971584659272447,0.2539406940144253,0.0004086491229609924,0.6871325565773356
SXS:BBH:0548,precessing,0.36451742412220367,0.099820874965,0.0839646703764,0.477390462709,0.494889812822722,0.965089407887,1.2498982900645137,0.1110709275917305,0.555583807483,0.444503214301,5.6e-05,0.5654549489418008,0.12743067261129032,-0.5473500788034638,0.6445014981850696,0.2605797114353404,-0.3917380421781186,-0.4781860471169989,-0.12995871265657233,0.0008645924214339075,2.4025012485567343
SXS:BBH:0549,precessing,0.041442640006976846,0.0012471981193,0.0181976949012,0.595273478574,0.5955528741400351,0.963223397372,1.9953359065613163,0.3322952542254185,0.666105495792,0.333831257986,0.0002688,0.03829480564882045,0.04471276632603912,-0.019446914458130758,0.01087455704562108,0.025507531892100116,-0.35661970886227434,-0.13201285194299275,0.10610382010109748,0.0005215481178785015,1.0465530249459951
SXS:BBH:0550,spinning_aligned,7.489223404603812e-07,-5.95334662731e-08,3.14757169394e-09,0.644759642546,0.6447596425460028,0.956365426051,1.7497893485232094,0.27267155897810397,0.636353247302,0.36367420332,0.0001276,-3.279924076733747e-08,6.974478430136805e-08,-0.19860006589662327,-2.0771665685080424e-09,-1.1894279360525123e-07,0.7991758129584982,0.1642553213318504,-0.4170079768096603,0.000902861846334858,1.5707780295509381
SXS:BBH:0551,precessing,0.0348624904690499,0.00836358455242,0.0114198219054,0.710054953681,0.7101960286609913,0.949314713753,1.0135870793648145,0.0067476989220060435,0.503368361336,0.496620735982,6.39e-05,-0.06907116434337884,-0.07600190754310264,-0.08928989334566656,0.05602365780311073,0.0016838023211891292,0.24780269444112163,0.07811910090211334,-0.16801149556485534,0.0009522299852574958,0.26813169782957447
SXS:BBH:0552,spinning_aligned,4.966872430517667e-06,-2.8067147265e-08,3.71491763873e-08,0.832926278219,0.8329262782190013,0.940830440222,1.7500997107430287,0.27275364155445986,0.636380118179,0.363625063345,9.3e-05,1.4493360268077175e-08,-9.290183882693545e-08,0.7972623760634426,3.071030863584942e-08,-3.717138506904647e-08,-0.39577958603150487,0.36344466486030647,0.6512739275488015,0.00045930699605732867,1.5707182041164374
SXS:BBH:0553,precessing,0.006547626325570864,0.00111468581247,0.00541266868744,0.853057913101,0.853075812932833,0.928168770887,1.0718961762214432,0.034700665528796616,0.517362132035,0.482660675084,0.0004932,0.008004551871091226,-0.00030389532064008836,0.6867884791362143,-0.0017410658408158748,0.02047179621759183,0.4557365498520177,0.5752713423530526,0.13534915408669526,0.00017517618300214705,2.474365334834001
SXS:BBH:0554,spinning_aligned,4.667180706073632e-07,7.44452939868e-09,-1.07951106755e-07,0.663346441379,0.6633464413790089,0.959632050721,1.9999723898153883,0.33332719768028424,0.666673481018,0.333341342317,9.75e-05,8.863319287543281e-09,7.707259128377506e-08,0.20033543622524172,1.1087195404469881e-07,1.3605720053394675e-07,-0.3993813877972929,0.00042798839055019637,0.2666846973877086,0.0003340508939402183,1.570742037609786
SXS:BBH:0555,precessing,0.0046898712928511955,-0.00015471460379,0.00202174662954,0.665944131911,0.6659472187964584,0.956655399275,1.8903207552374406,0.30803527726952934,0.65402485138,0.345986176985,0.0001155,0.0007882229998760036,0.007304098884759865,-0.0015157028814231353,0.0003528108724267911,-0.0031241312505914214,0.5284527099304236,0.18184402003220546,-0.183826612870966,0.0006211517618972107,1.4969818992502493
